ID,Name,UnionID,DivID
52311,Aba North Conference,ENUM,West Central Africa Division
52312,Aba South Conference,ENUM,West Central Africa Division
54697,Aba West Mission,ENUM,West Central Africa Division
53058,Akwa Ibom Conference,ENUM,West Central Africa Division
53060,Anambra Mission,ENUM,West Central Africa Division
29902,Imo Conference,ENUM,West Central Africa Division
53061,Bayelsa Mission,ENUM,West Central Africa Division
53059,Ebonyi Conference,ENUM,West Central Africa Division
13497,Abia North-Central Conference,ENUM,West Central Africa Division
52313,Enugu Conference,ENUM,West Central Africa Division
13498,Aba East Conference,ENUM,West Central Africa Division
30232,Eastern Nigeria Union Conference,ENUM,West Central Africa Division
54698,Northern Cross River Mission,ENUM,West Central Africa Division
13503,Cross River Conference,ENUM,West Central Africa Division
53062,Rivers East Conference,ENUM,West Central Africa Division
13502,Port Harcourt Conference,ENUM,West Central Africa Division
52314,Rivers West Conference,ENUM,West Central Africa Division
20904,South Austral Chile Conference,CLUM,South American Division
10560,Central Chile Mission,CLUM,South American Division
10547,Chile Union Mission,CLUM,South American Division
10563,Metropolitan Chile Conference,CLUM,South American Division
10561,North Chile Conference,CLUM,South American Division
10562,Pacific Chile Mission,CLUM,South American Division
10565,Central South Chile Conference,CLUM,South American Division
51815,South Metropolitan Chile Mission,CLUM,South American Division
14032,Atlantic Colombian Conference,CLUC,Interamerican Division
30945,Caribbean Colombian Conference,CLUC,Interamerican Division
14033,Colombian Islands Mission,CLUC,Interamerican Division
14037,North Colombian Union Conference,CLUC,Interamerican Division
53728,East Central Colombian Conference,CLUC,Interamerican Division
14034,East Colombian Conference,CLUC,Interamerican Division
31774,Northeast Colombian Conference,CLUC,Interamerican Division
53911,Southwest Colombian Mission,CLUC,Interamerican Division
14039,West Central Colombian Conference,CLUC,Interamerican Division
52468,Adilabad Region,CIUS,Southern Asia Division
13188,East-Central India Union Section,CIUS,Southern Asia Division
31794,Guntur Section,CIUS,Southern Asia Division
20215,Hyderabad Metro Section,CIUS,Southern Asia Division
13202,North Andhra Section,CIUS,Southern Asia Division
13207,Northeast Andhra Section,CIUS,Southern Asia Division
29825,North Orissa Region,CIUS,Southern Asia Division
29826,North Rayalaseema Section,CIUS,Southern Asia Division
29827,East Telangana Section,CIUS,Southern Asia Division
13203,Orissa Section,CIUS,Southern Asia Division
13206,South Andhra Section,CIUS,Southern Asia Division
20218,Southeast Andhra Section,CIUS,Southern Asia Division
13208,South Rayalaseema Section,CIUS,Southern Asia Division
30980,Vishaka Metro Section,CIUS,Southern Asia Division
13209,West Telangana Section,CIUS,Southern Asia Division
54695,Adamaoua-Mayo Rey Conference,CAUM,West Central Africa Division
54696,Benoue-Faro Mission,CAUM,West Central Africa Division
10156,Cameroon Union Mission,CAUM,West Central Africa Division
10158,Central-South Cameroon Conference,CAUM,West Central Africa Division
13440,East Cameroon Conference,CAUM,West Central Africa Division
143957,Mbam-Sanaga Conference,CAUM,West Central Africa Division
