id,union_id,name
0,ENUM,Aba North Conference
0,ENUM,Aba South Conference
0,ENUM,Aba West Mission
0,ENUM,Akwa Ibom Conference
0,ENUM,Anambra Mission
0,ENUM,Imo Conference
0,ENUM,Bayelsa Mission
0,ENUM,Ebonyi Conference
0,ENUM,Abia North-Central Conference
0,ENUM,Enugu Conference
0,ENUM,Aba East Conference
0,ENUM,Eastern Nigeria Union Conference
0,ENUM,Northern Cross River Mission
0,ENUM,Cross River Conference
0,ENUM,Rivers East Conference
0,ENUM,Port Harcourt Conference
0,ENUM,Rivers West Conference
1,CLUM,South Austral Chile Conference
1,CLUM,Central Chile Mission
1,CLUM,Chile Union Mission
1,CLUM,Metropolitan Chile Conference
1,CLUM,North Chile Conference
1,CLUM,Pacific Chile Mission
1,CLUM,Central South Chile Conference
1,CLUM,South Metropolitan Chile Mission
2,CLUC,Atlantic Colombian Conference
2,CLUC,Caribbean Colombian Conference
2,CLUC,Colombian Islands Mission
2,CLUC,North Colombian Union Conference
2,CLUC,East Central Colombian Conference
2,CLUC,East Colombian Conference
2,CLUC,Northeast Colombian Conference
2,CLUC,Southwest Colombian Mission
2,CLUC,West Central Colombian Conference
3,CIUS,Adilabad Region
3,CIUS,East-Central India Union Section
3,CIUS,Guntur Section
3,CIUS,Hyderabad Metro Section
3,CIUS,North Andhra Section
3,CIUS,Northeast Andhra Section
3,CIUS,North Orissa Region
3,CIUS,North Rayalaseema Section
3,CIUS,East Telangana Section
3,CIUS,Orissa Section
3,CIUS,South Andhra Section
3,CIUS,Southeast Andhra Section
3,CIUS,South Rayalaseema Section
3,CIUS,Vishaka Metro Section
3,CIUS,West Telangana Section
4,CAUM,Adamaoua-Mayo Rey Conference
4,CAUM,Benoue-Faro Mission
4,CAUM,Cameroon Union Mission
4,CAUM,Central-South Cameroon Conference
4,CAUM,East Cameroon Conference
4,CAUM,Mbam-Sanaga Conference
4,CAUM,North Cameroon Conference
4,CAUM,Nyong-Afamba Conference
4,CAUM,West Cameroon Conference
5,ADUC,Adriatic Union Conference
5,ADUC,Albanian Mission of Seventh-day Adventists
5,ADUC,Croatian Conference
5,ADUC,Slovenian Conference
6,AGUM,South-Western Angola Union Mission
6,AGUM,Central Association Mission
6,AGUM,South Association Mission
7,NPUC,Alaska Conference
7,NPUC,"Idaho Conference of Seventh-day Adventists, Inc."
7,NPUC,Montana Conference
7,NPUC,North Pacific Union Conference
7,NPUC,Oregon Conference
7,NPUC,Upper Columbia Conference
7,NPUC,Washington Conference
8,NEBUM,Alagoas Mission
8,NEBUM,Central Pernambuco Conference
8,NEBUM,Ceara Conference
8,NEBUM,Rio Grande do Norte-Paraiba Mission
8,NEBUM,Northeast Brazil Union Mission
8,NEBUM,Piaui Mission
8,NEBUM,Pernambuco Conference
9,SCIC,Alberta Conference
9,SCIC,British Columbia Conference
9,SCIC,"Maritime Conference of the Seventh-day Adventist Church, Inc."
9,SCIC,Manitoba-Saskatchewan Conference
9,SCIC,SDA Church in Newfoundland and Labrador
9,SCIC,Ontario Conference
9,SCIC,Quebec Conference
9,SCIC,"Canada, SDA Church in"
10,COUC,Allegheny East Conference
10,COUC,Allegheny West Conference
10,COUC,Chesapeake Conference
10,COUC,Columbia Union Conference
10,COUC,Mountain View Conference
10,COUC,"New Jersey Conference of Seventh-day Adventists, Inc."
10,COUC,Ohio Conference
10,COUC,Pennsylvania Conference
10,COUC,Potomac Conference
11,KRLA,Alappuzha-Pathanamthitta Section
11,KRLA,Idukki Section
11,KRLA,Southwest India Union Section
11,KRLA,North Kerala Section
11,KRLA,South Kerala Section
12,IOMU,Alpine Conference
12,IOMU,Central Veracruz Conference
12,IOMU,Chontalpa Conference
12,IOMU,North Veracruz Conference
12,IOMU,Inter-Oceanic Mexican Union Conference
12,IOMU,Isthmus Conference
12,IOMU,Los Tuxtlas Mission
12,IOMU,South Pacific Conference
12,IOMU,Olmeca Conference
12,IOMU,Oaxaca Conference
12,IOMU,Southeast Veracruz Mexican Conference
12,IOMU,South Veracruz Conference
13,NCAU,Altiplano Guatemala Mission
13,NCAU,Metropolitan Guatemala Conference
13,NCAU,Central Guatemala Conference
13,NCAU,East Guatemala Mission
13,NCAU,Lago Guatemala Mission
13,NCAU,Guatemala Union Mission
13,NCAU,North Guatemala Mission
13,NCAU,South Guatemala Mission
13,NCAU,West Guatemala Conference
14,TPACU,American Samoa Mission
14,TPACU,Fiji Mission
14,TPACU,Kiribati Mission
14,TPACU,Niue Field Station
14,TPACU,Samoa-Tokelau Mission
14,TPACU,Solomon Islands Mission
14,TPACU,Tonga Mission
14,TPACU,Trans Pacific Union Mission
14,TPACU,Tuvalu Region
14,TPACU,Vanuatu Mission
15,NWBR,Amazonas-Roraima Conference
15,NWBR,Central Amazon Conference
15,NWBR,Northwest Brazil Union Mission
15,NWBR,South Rondonia Conference
15,NWBR,North Rondonia and Acre Conference
16,ATUC,Northeastern Conference
16,ATUC,Atlantic Union Conference
16,ATUC,Bermuda Conference
16,ATUC,Greater New York Conference
16,ATUC,Northern New England Conference
16,ATUC,New York Conference
16,ATUC,Southern New England Conference
17,SUDAF,Andaman and Nicobar Island Region
17,SUDAF,East Himalayan Field
18,NOAO,Angola North-Eastern Mission
18,NOAO,Angola South Luanda and Cabinda Mission
18,NOAO,Angola East Mission
18,NOAO,Angola North Mission
18,NOAO,North-Eastern Angola Union Mission
19,NEIUS,Arunachal Pradesh Region
19,NEIUS,Assam Region
19,NEIUS,Garo Section
19,NEIUS,Khasi Jaintia Conference
19,NEIUS,Mizo Conference
19,NEIUS,Manipur Conference
19,NEIUS,Northeast India Union Section
19,NEIUS,Nagaland Region
19,NEIUS,Tripura Region
20,ARGU,Argentina Union Conference
20,ARGU,Buenos Aires Conference
20,ARGU,Central Argentine Conference
20,ARGU,Central West Argentine Mission
20,ARGU,North Argentine Conference
20,ARGU,North Buenos Aires Mission
20,ARGU,Northwest Argentine Mission
20,ARGU,South Argentine Conference
21,SWUC,Arkansas-Louisiana Conference
21,SWUC,Oklahoma Conference
21,SWUC,Southwest Region Conference
21,SWUC,Southwestern Union Conference
21,SWUC,Texico Conference
21,SWUC,Texas Conference
22,,Armenian Field
22,,Chinese Union Mission
22,,Crimea Mission
22,,East-Central Africa Division
22,,Eastern Ethiopia Union Mission
22,,Euro-Asia Division
22,,Inter-European Division
22,,Don Field
22,,Falkland Islands (Malvinas) Field Station
22,,General Conference
22,,Georgian Field
22,,Middle East and North Africa Union Mission
22,,Himalayan Section
22,,Inter-American Division
22,,Israel Field
22,,Malaysia Union Mission
22,,North American Division
22,,Northern Asia-Pacific Division
22,,South American Division
22,,Southeastern Philippine Union Mission
22,,Singapore Conference
22,,Southern Africa-Indian Ocean Division
22,,South Pacific Division
22,,Sri Lanka Mission of SDA
22,,Southern Asia-Pacific Division
22,,Southern Asia Division
22,,Trans-European Division
22,,Taiwan Conference
22,,Ukrainian Union Conference
22,,West-Central Africa Division
22,,Western Ethiopia Union Mission
23,DUTC,Aruba Mission
23,DUTC,Bonaire Mission
23,DUTC,Dutch Caribbean Union Mission
23,DUTC,Curacao Conference
24,PAUC,"Arizona Conference Corporation of Seventh-day Adventists, The"
24,PAUC,Central California Conference of Seventh-day Adventists
24,PAUC,Hawaii Conference
24,PAUC,Northern California Conference of Seventh-day Adventists
24,PAUC,Nevada-Utah Conference
24,PAUC,Pacific Union Conference
24,PAUC,Southern California Conference
24,PAUC,Southeastern California Conference
25,NOGH,Ashanti Central Ghana Conference
25,NOGH,Ashanti South Ghana Conference
25,NOGH,Central Ghana Conference
25,NOGH,Green View Ghana Conference
25,NOGH,Mid-Central Ghana Conference
25,NOGH,Mid-North Ghana Conference
25,NOGH,Mountain View Ghana Conference
25,NOGH,Mid-West Ghana Conference
25,NOGH,North Ghana Mission
25,NOGH,Northern Ghana Union Conference
25,NOGH,South Central Ghana Conference
