Div_ID,Div_Code,Div_OrgID,Div_Number,Div_AccountNumber,Div_Name,Div_Description,Div_AddressLine1,Div_AddressLine2,Div_AddressLine3,Div_City,Div_StateProvence,Div_Country,Div_Region,Div_Telephone,Div_Fax,Div_TimeDiff,Div_President,Div_Secretary,Div_Treasurer,Div_TRIPSContact,Div_EmailTRIPSContact,Div_BCDContact,Div_EmailContact,Div_OtherBCDContact,Div_OtherEmailContact,Div_MsnryAcctContact,Div_EmailMsnryAcctContact,Div_GCAssocSecForDiv,Div_GCAssocSecID,Div_SecExt,Div_SEC_Desk,Div_TRIPS_Assoc,Div_Base_HRContact,Div_Base_SECContact,Div_Base_TREContact,Div_Base_TravelContact,Div_Host_HRContact,Div_Host_SECContact,Div_Host_TREContact,Div_Host_TravelContact,Div_EntryPerson,Div_EntryDate,Div_UpdatePerson,Div_UpdateDate,Div_AuditFlag,Div_CodeforProcessing
1,ADRA,A11114,70,"1700000037000001         ",Adventist Development Agency (historical),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Walton, Katherine                  ",2003-06-02 16:09:05.000,NULL,NULL
2,AID,NULL,10,1700000031000001,Africa-Indian Ocean Division (historical),,22 Boite Postale 1764,NULL,NULL,Abidjan 22,,70,West Africa,(225) 44-00-97,(225) 44-23-41,5,Luka T. Daniel,Paul Ratsara,Ceazar Hechanova,Frederick Falayi,NULL,Frederick Falayi,NULL,NULL,NULL,Frederick Falayi,NULL,Claude Sabot,NULL,"6663 ",3136,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Tolhurst, Linley",2002-04-14 00:00:00.000,NULL,NULL
3,AIIAS,A111AD,74,1700000037400001,Adventist International Institute of Advanced Studies,NULL,P.O. Box 38,NULL,NULL,Silang,Cavite 4118,110,NULL,63 (46) 402-1051,63 (46) 402-1068,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Douglas Clayville,12989,"6652 ",3136,3728,NULL,NULL,NULL,4603,NULL,NULL,NULL,4603,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Landless, Ros",2012-05-01 12:17:07.747,U,AIIAS
24,"AUA ",A111AUA,75,NULL,Adventist University of Africa,Adventist University of Africa,Advent Hill,Magadi Road,Ongata Rongai,Nairobi,NULL,75,East Africa,254 (20) 660-3306,254 (20) 660-3150,5,Brempong Owusu-Antwi,NULL,NULL,Nonceba Mathema,NULL,NULL,NULL,NULL,NULL,Aurea Pasamba,NULL,"Rosa Banks               ",5028,NULL,NULL,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Landless, Ros                      ",2008-09-17 14:37:52.533,"Landless, Ros",2012-04-30 18:05:39.323,U,"AUA "
4,AUD,NULL,61,1700000036100001,General Conference Auditing Service,,,,,,,NULL,,,,NULL,,,,,NULL,,NULL,NULL,NULL,,NULL,,NULL,"     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Tolhurst, Linley",2002-04-14 00:00:00.000,NULL,GCAUD
5,AWR,NULL,42,1700000034200001,Adventist World Radio,,,,,,,NULL,,,,NULL,,,,,NULL,,NULL,NULL,NULL,,NULL,,NULL,"     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Tolhurst, Linley",2002-04-14 00:00:00.000,NULL,GCAWR
34,CHUM,ARC111,27,NULL,Chinese Union Mission,Chinese Union Mission - Attached to GC,12/F Citimark,28 Yuen Shun Circuit,NULL,Siu Lek Yuen,Shatin,62,NULL,852-2838-3991,852-2834-6119,10,Robert S. Folkenberg Jr,Daniel Wang Xin Jiao,Andy Liang Cen,NULL,NULL,NULL,info@chumadventist.org,NULL,NULL,NULL,NULL,"Claude Sabot             ",5028,"6663 ",3136,3142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Redmond, Amelia",2003-01-01 00:00:00.000,"Walton, Katherine",2020-03-24 18:04:24.343,U,WAD
30,DMA,NULL,99,NULL,Deferred Mission Appointment Program,Deferred Mission Appointment Program,NULL,NULL,NULL,NULL,NULL,144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Walton, Katherine",2014-08-21 19:00:11.390,"Walton, Katherine",2014-08-21 19:00:11.390,I,GCDMA
6,EAD,NULL,17,1700000031700001,Eastern Africa Division (historical),,P.O. Box H.G. 100,NULL,NULL,"Highlands, Harare",,154,,263 (4) 776-786,263 (4) 776-128,7,Pardon Mwansa,Blasious Ruguri,Jose R. Lizardo,Jean Lemon,NULL,Alice Mafanuke,NULL,NULL,NULL,Jean Lemon,NULL,Theodore T. Jones,NULL,"6661 ",3848,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tolhurst, Linley",2002-04-14 00:00:00.000,"Tolhurst, Linley",2002-04-14 00:00:00.000,NULL,NULL
7,ECD,AF1111,15,1700000031500001,East-Central Africa Division,NULL,P.O. Box 14756,00800 - Westlands,NULL,Nairobi,Kenya,75,NULL,NULL,NULL,5,Blasious M. Ruguri,Alain G. Coralie,Jerome Habimana,NULL,NULL,Alain Coralie,coraliea@ecd.adventist.org,NULL,NULL,NULL,NULL,5119,5028,"6663 ",5090,3728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Redmond, Amelia",2003-01-01 00:00:00.000,"Landless, Ros",2012-07-05 09:45:50.130,U,ECD
