id,union_id,name
0,141,Aba North Conference
1,141,Aba South Conference
2,141,Aba West Mission
3,141,Akwa Ibom Conference
4,141,Anambra Mission
5,141,Imo Conference
6,141,Bayelsa Mission
7,141,Ebonyi Conference
8,141,Abia North-Central Conference
9,141,Enugu Conference
10,141,Aba East Conference
11,141,Northern Cross River Mission
12,141,Cross River Conference
13,141,Rivers East Conference
14,141,Port Harcourt Conference
15,141,Rivers West Conference
16,74,South Austral Chile Conference
17,74,Central Chile Mission
18,74,Metropolitan Chile Conference
19,74,North Chile Conference
20,74,Pacific Chile Mission
21,74,Central South Chile Conference
22,74,South Metropolitan Chile Mission
23,52,Atlantic Colombian Conference
24,52,Caribbean Colombian Conference
25,52,Colombian Islands Mission
26,52,East Central Colombian Conference
27,52,East Colombian Conference
28,52,Northeast Colombian Conference
29,52,Southwest Colombian Mission
30,52,West Central Colombian Conference
31,103,Adilabad Region
32,103,Guntur Section
33,103,Hyderabad Metro Section
34,103,North Andhra Section
35,103,Northeast Andhra Section
36,103,North Orissa Region
37,103,North Rayalaseema Section
38,103,East Telangana Section
39,103,Orissa Section
40,103,South Andhra Section
41,103,Southeast Andhra Section
42,103,South Rayalaseema Section
43,103,Vishaka Metro Section
44,103,West Telangana Section
45,139,Adamaoua-Mayo Rey Conference
46,139,Benoue-Faro Mission
47,139,Central-South Cameroon Conference
48,139,East Cameroon Conference
49,139,Mbam-Sanaga Conference
50,139,North Cameroon Conference
51,139,Nyong-Afamba Conference
52,139,West Cameroon Conference
53,78,Alagoas Mission
54,78,Central Pernambuco Conference
55,78,Ceara Conference
56,78,Rio Grande do Norte-Paraiba Mission
57,78,Piaui Mission
58,78,Pernambuco Conference
59,60,Alberta Conference
60,60,British Columbia Conference
61,60,"Maritime Conference of the Seventh-day Adventist Church, Inc."
62,60,Manitoba-Saskatchewan Conference
63,60,SDA Church in Newfoundland and Labrador
64,60,Ontario Conference
65,60,Quebec Conference
66,125,Albanian Mission of Seventh-day Adventists
67,125,Croatian Conference
68,125,Slovenian Conference
69,61,Allegheny East Conference
70,61,Allegheny West Conference
71,61,Chesapeake Conference
72,61,Mountain View Conference
73,61,"New Jersey Conference of Seventh-day Adventists, Inc."
74,61,Ohio Conference
75,61,Pennsylvania Conference
76,61,Potomac Conference
77,108,Alappuzha-Pathanamthitta Section
78,108,Idukki Section
79,108,North Kerala Section
80,108,South Kerala Section
81,51,Alpine Conference
82,51,Central Veracruz Conference
83,51,Chontalpa Conference
84,51,North Veracruz Conference
85,51,Isthmus Conference
86,51,Los Tuxtlas Mission
87,51,South Pacific Conference
88,51,Olmeca Conference
89,51,Oaxaca Conference
90,51,Southeast Veracruz Mexican Conference
91,51,South Veracruz Conference
92,47,Altiplano Guatemala Mission
93,47,Metropolitan Guatemala Conference
94,47,Central Guatemala Conference
95,47,East Guatemala Mission
96,47,Lago Guatemala Mission
97,47,North Guatemala Mission
98,47,South Guatemala Mission
99,47,West Guatemala Conference
100,89,American Samoa Mission
101,89,Fiji Mission
102,89,Kiribati Mission
103,89,Niue Field Station
104,89,Samoa-Tokelau Mission
105,89,Solomon Islands Mission
106,89,Tonga Mission
107,89,Tuvalu Region
108,89,Vanuatu Mission
109,79,Amazonas-Roraima Conference
110,79,Central Amazon Conference
111,79,South Rondonia Conference
112,79,North Rondonia and Acre Conference
113,59,Northeastern Conference
114,59,Bermuda Conference
115,59,Greater New York Conference
116,59,Northern New England Conference
117,59,New York Conference
118,59,Southern New England Conference
119,94,Angola North-Eastern Mission
120,94,Angola South Luanda and Cabinda Mission
121,94,Angola East Mission
122,94,Angola North Mission
123,104,Arunachal Pradesh Region
124,104,Assam Region
125,104,Garo Section
126,104,Khasi Jaintia Conference
127,104,Mizo Conference
128,104,Manipur Conference
129,104,Nagaland Region
130,104,Tripura Region
131,66,Arkansas-Louisiana Conference
132,66,Oklahoma Conference
133,66,Southwest Region Conference
134,66,Texico Conference
135,66,Texas Conference
136,43,Aruba Mission
137,43,Bonaire Mission
138,43,Curacao Conference
139,49,Atlantic Honduras Conference
140,49,Bay Islands Conference
141,49,Central Honduras Conference
142,49,Comayaguela Conference
143,49,Northwest Honduras Conference
144,54,Atlantic Panama Conference
145,54,Bocas del Toro Mission
146,54,Central Panama Conference
147,54,Metropolitan Panama Conference
148,54,Southeast Panama Mission
149,54,West Panama Conference
150,116,Ayeyarwady Mission
151,116,Central Myanmar Mission
152,116,South East Mission
153,116,Upper Myanmar Mission
154,116,Yangon Mission
155,39,Azteca Mexican Conference
156,39,Bajio Mexican Conference
157,39,Valley Mexican Conference
158,39,Metropolitan Mexican Conference
159,39,Mexiquense Mexican Mission
160,12,Greater Bahr el Ghazal Field
161,12,Eastern Upper Nile Field
162,12,North-Central Nile Field
163,12,Greater Equatoria Field
164,76,Bahia Conference
165,76,Central Bahia Conference
166,76,Extreme South Bahia Mission
167,76,North Bahia Conference
168,76,South Bahia Conference
169,76,Sergipe Mission
170,76,Southwest Bahia Mission
171,32,Banat Conference
172,32,Moldavia Conference
173,32,Muntenia Conference
174,32,North Transylvania Conference
175,32,Oltenia Conference
176,32,South Transylvania Conference
177,33,Bavarian Conference
178,33,Baden-Wuerttemberg Conference
179,33,Central Rhenish Conference
180,53,Baja California Conference
181,53,Gulf Mexican Conference
182,53,Northeast Mexican Conference
183,53,Chihuahua Mexican Conference
184,53,Northwest Mexican Mission
185,53,North Tamaulipas Mexican Conference
186,53,Sonora Mexican Conference
187,53,Regiomontana Mission
188,53,South Baja California Mission
189,53,Sinaloa Mexican Conference
190,53,West Mexican Conference
191,142,Benin Conference
192,142,Burkina Faso Mission
193,142,Southeast Cote d'Ivoire Conference
194,142,North-central Cote d'Ivoire Mission
195,142,Niger Region
196,142,Southwest Cote d'Ivoire Mission
197,142,Togo Conference
198,36,South Bahamas Conference
199,36,Cayman Islands Conference
200,36,North Bahamas Conference
201,36,Turks and Caicos Islands Conference
202,105,Bihar Region
203,105,Western Jharkhand Section
204,105,Chhattisgarh Region
205,105,Central Uttar Pradesh Region
206,105,Delhi Metro Region
207,105,Eastern Jharkhand Section
208,105,Eastern Uttar Pradesh Section
209,105,Himachal Pradesh Region
210,105,Haryana Region
211,105,Kolkata Metro Region
212,105,Madhya Pradesh Region
213,105,Rajasthan Section
214,105,North India Section
215,105,South Bengal Section
216,105,Upper Ganges Section
217,105,Uttarakhand Region
218,105,North Bengal Section
219,28,Belgian-Luxembourg Conference
220,28,North France Conference
221,28,South France Conference
222,114,Bolaang Mongondow and Gorontalo Mission
223,114,Central Sulawesi Mission
224,114,Papua Mission
225,114,Luwu Tana Toraja Mission
226,114,Maluku Mission
227,114,North Minahasa Bitung Mission
228,114,Manado and North Maluku Conference
229,114,Minahasa Conference
230,114,South Sulawesi Conference
231,114,Northern Island Mission
232,114,West Papua Mission
233,106,Bangalore Metro Conference
234,106,Kolar-Chinthamani Region
235,106,Goa-West Karnataka Section
236,106,North Karnataka Section
237,106,Raichur-Bellary Region
238,106,South Karnataka Section
239,27,Bohemian Conference
240,27,Moravia-Silesian Conference
241,27,Slovakian Conference
242,88,Bougainville Mission
243,88,Central Papua Conference
244,88,Eastern Highlands Simbu Mission
245,88,Madang Manus Mission
246,88,Morobe Mission
247,88,New Britain New Ireland Mission
248,88,Northern and Milne Bay Mission
249,88,Sepik Mission
250,88,South West Papua Mission
251,88,Western Highlands Mission
252,71,Buenos Aires Conference
253,71,Central Argentine Conference
254,71,Central West Argentine Mission
255,71,North Argentine Conference
256,71,North Buenos Aires Mission
257,71,Northwest Argentine Mission
258,71,South Argentine Conference
259,98,Central Association Mission
260,98,South Association Mission
261,57,Campeche Conference
262,57,East Tabasco Mission
263,57,South Tabasco Conference
264,57,Mayab Conference
265,57,North Quintana Roo Conference
266,57,South Quintana Roo Mission
267,57,Central Tabasco Conference
268,140,Congo Mission
269,140,Central African Republic Mission
270,140,Chad Mission
271,140,Equatorial Guinea Mission
272,140,Gabon Mission
273,82,Central Peru Mission
274,82,Central South Peru Mission
275,82,East Peru Mission
276,82,Lake Titicaca Peru Mission
277,82,Central Peru Conference
278,82,Southeast Peru Mission
279,82,South Peru Mission
280,96,Cape Conference
281,96,KwaZulu Natal-Free State Conference
282,96,Lesotho Conference
283,96,Namibia South Conference
284,96,Namibia North Conference
285,96,Eswatini Conference
286,96,Trans-Orange Conference
287,96,Northern Conference
288,117,Cavite Mission
289,117,Central Luzon Conference
290,117,Mountain Provinces Mission
291,117,Northeast Luzon Mission
292,117,Northern Luzon Mission
293,117,Palawan Mission
294,117,South-Central Luzon Conference
295,117,Southern Luzon Mission
296,37,Central Belize Mission
297,37,North Belize Mission
298,37,South West Belize Mission
299,72,Central Bolivia Mission
300,72,East Bolivia Mission
301,72,South Western Bolivia Mission
302,72,North Western Bolivia Mission
303,85,Central Brazil Conference
304,85,Central Planalto Conference
305,85,East Mato Grosso Conference
306,85,South Mato Grosso Conference
307,85,Tocantins Mission
308,85,West Mato Grosso Mission
309,40,Central Chiapas Conference
310,40,Grijalva Conference
311,40,North Chiapas Conference
312,40,Palenque Mission
313,40,South Chiapas Conference
314,40,Soconusco Conference
315,40,Upper Chiapas Conference
316,40,West Chiapas Conference
317,42,Central Dominican Conference
318,42,East Dominican Conference
319,42,North Dominican Conference
320,42,Northeast Dominican Conference
321,42,South Dominican Conference
322,42,Southeast Dominican Conference
323,145,Central Liberia Mission
324,145,Guinea Region
325,145,South-East Liberia Mission
326,145,Sierra Leone Conference
327,145,South-West Liberia Conference
328,45,Central El Salvador Conference
329,45,East El Salvador Conference
330,45,Metropolitan El Salvador Conference
331,45,Paracentral El Salvador Conference
332,45,West El Salvador Conference
333,3,Central Ethiopia Field
334,3,Northwest Ethiopia Field
335,3,South Central Ethiopia Field
336,3,South East Ethiopia Field
337,3,South Ethiopia Field
338,3,South Green Ethiopia Field
339,3,South Shewa Ethiopia Field
340,3,North Ethiopia Field
341,7,Central Tanzania Field
342,7,East-Central Tanzania Conference
343,7,Lake Tanganyika Field
344,7,South-East Tanzania Conference
345,7,Southern Highlands Conference
346,44,Central East Venezuela Conference
347,44,Central Llanos Venezuela Mission
348,44,Central Venezuela Conference
349,44,East Venezuela Conference
350,44,Northeast Venezuela Mission
351,44,South Central Venezuela Conference
352,44,Southeast Venezuela Conference
353,44,South Bolivar Venezuela Mission
354,9,Congo Equatorial Field
355,9,Central Kasai Field
356,9,Lower Congo Field
357,9,West Congo Field
358,9,West Kasai Field
359,30,Berlin-Central German Conference
360,30,Hanseatic Conference
361,30,Northern Rhenish-Westfalian Conference
362,48,Central Haiti Conference
363,48,North Haiti Mission
364,48,Northwest Haiti Mission
365,48,Plaine du cul de Sac Mission
366,48,South Haiti Mission
367,107,Kanchipuram-Chengalpattu Section
368,107,Chennai Metro Section
369,107,Coimbatore Tirupur Section
370,107,Dharmapuri Section
371,107,Erode Nilgiris Section
372,107,North Tamil Conference
373,107,Pudukottai-Thirumayam Region
