survey_id,category_id,question_id,question
38766943,0,7603624,"What language is spoken in your field?"
38766943,0,8699878,"Do you represent a:"
38766943,0,8022757,"What's your division?"
38766943,0,7583131,Burundi Union
38766943,0,7584010,East Congo Union
38766943,0,7583135,East Kenya Union,
38766943,0,7583717,Eastern Ethiopia Union Mission
38766943,0,7584031,Northern Tanzania Union
38766943,0,7584034,Rwanda Union
38766943,0,7584048,Southern Tanzania Union
38766943,0,7584050,Uganda Union
38766943,0,7585419,West Congo Union Mission
38766943,0,7584132,Western Kenya Union
38766943,0,7584142,Western Ethiopia Union
38766943,0,7584144,South Sudan Union Mission
38766943,0,8025217,Eritrea Attached Territory
38766943,0,7583134,ECD
38766943,0,7584020,NECAUM
38766943,0,7576104,ESD
38766943,0,8024884,Belarus Union of Churches
38766943,0,7584155,Caucasus Union
38766943,0,7584171,East Russian Union
38766943,0,8025061,Far Eastern Russian Union
38766943,0,8025060,Moldova Union of Churches
38766943,0,7584173,Southern Union Mission
38766943,0,7584185,West Russian Union
38766943,0,8025654,Armenian Field
38766943,0,8025653,Georgian Field
38766943,0,7576106,EUD
38766943,0,7576197,Austrian Union
38766943,0,8025058,Bulgarian Union
38766943,0,8025012,Czecho-Slovakian Union
38766943,0,7576198,Franco-Belgian Union
38766943,0,7576214,North German Union
38766943,0,7576215,Romanian Union
38766943,0,7576216,South German Union
38766943,0,7576217,Swiss Union
38766943,0,7576126,IAD
38766943,0,7585212,Atlantic Caribbean Union
38766943,0,7585215,Belize Union
38766943,0,7585217,Caribbean Union
38766943,0,7585221,Central Mexican Union
38766943,0,7585310,Chiapas Mexican Union
38766943,0,7585311,Cuban Union
38766943,0,7585312,Dominican Union
38766943,0,7585340,Dutch Caribbean Union Conference
38766943,0,7585360,East Venezuela Union
38766943,0,7585362,El Salvador Union
38766943,0,7585363,French Antilles Guiana Union
38766943,0,7585364,Guatemala Union
38766943,0,7585365,Haiti Union
38766943,0,7585366,Honduras Union
38766943,0,7585367,Interoceanic Mexican Union
38766943,0,7585370,Jamaica Union
38766943,0,7585371,North Colombian Union
38766943,0,7585391,North Mexican Union
38766943,0,7585392,Panama Union
38766943,0,7585393,Puerto Rican Union
38766943,0,7585407,South Central American Union
38766943,0,7585409,South Colombian Union
38766943,0,7585411,Southeast Mexican Union
38766943,0,7585412,West Venezuela Union
38766943,0,7583750,NAD
38766943,0,7597662,Atlantic Union
38766943,0,7597686,Canadian Union
38766943,0,7597691,Columbia Union
38766943,0,7597692,Lake Union
38766943,0,7597693,Mid-America Union
38766943,0,7597700,North Pacific Union
38766943,0,7597701,Pacific Union
38766943,0,7597703,Southern Union
38766943,0,7597705,Southwestern Union
38766943,0,7583822,NSD
38766943,0,7597759,Japan Union
38766943,0,7597758,Korean Union
38766943,0,7583751,SAD
38766943,0,7597762,Argentina Union
38766943,0,7597763,Bolivia Union
38766943,0,7597766,Central Brazil Union
38766943,0,7597769,Chile Union
38766943,0,7597770,East Brazil Union
38766943,0,7597771,Ecuador Union
38766943,0,7597772,North Brazil Union
38766943,0,7597773,North Peru Union
38766943,0,7597774,Northeast Brazil Union
38766943,0,7597776,Northwest Brazil Union
38766943,0,7597777,South Brazil Union
38766943,0,7597778,South Peru Union
38766943,0,7597779,Southeast Brazil Union
38766943,0,7597781,West Central Brazil
38766943,0,7583753,SID
38766943,0,7597782,Botswana Union
38766943,0,7597791,Indian Ocean Union
38766943,0,7597796,Malawi Union
38766943,0,7597797,Mozambique Union
38766943,0,7597807,North-Eastern Angola
38766943,0,7597809,North Zambia Union
38766943,0,7597813,Southern Africa Union
38766943,0,7597817,Southern Zambia Union
38766943,0,7597818,Southwestern Angola Union
